         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO55690           9.6700000-73.13722222 6.85A1-0.017+0.020
SAO92663           9.9912500-33.96166666 6.69F8+0.333-0.116
SAO15185           9.9666666-44.79666666 6.01K1+0.045 0.000
SAO47395          10.1191666-16.51694444 6.49G5+0.037-0.040
SAO66475          10.1370833-23.80444444 6.14G3+0.644-0.333
SAO28891          10.1766666 -4.35194444 5.91K0-0.013-0.013
32 And            10.2800000+39.45861111 5.33G8-0.010-0.007
SAO32143          10.1100000-59.45444444 5.89G1+0.889+0.448
SAO11336          10.5141666+66.14750000 5.83G9-0.013-0.009
SAO74200          10.4000000+24.62916666 6.04A7+0.107-0.016
19Xi Cas          10.5162500+50.51250000 4.80B2+0.015-0.005
Mu Phe            10.3316666-46.08500000 4.59G8-0.014-0.002
SAO21642          10.6295833+58.75333333 6.17B9+0.036-0.007
M 31 And           000000000 +0000000000                   
Xi Phe            10.4433333-56.50166666 5.70Ap+0.085+0.044
20Pi Cas          10.8670833+47.02472222 4.94A5-0.020-0.034
Lam1Scl           10.6787500-38.46333333 6.06A0+0.003-0.005
SAO48238          10.6741666-60.26250000 5.98K5+0.255-0.045
Rho Tuc           10.6183333-65.46805555 5.39F6+0.053+0.042
16Bet Cet         10.8975000-17.98666666 2.04G9+0.234+0.033
SAO36617          11.1100000+47.86416666 5.67B5-0.026+0.015
SAO47422          10.9591666-12.01166666 6.02K2+0.007-0.204
Eta Phe           10.8383333-57.46305555 4.36A0-0.006+0.011
21 Cas            11.4125000+74.98805555 5.66A2-0.018-0.026
22Omi Cas         11.1812500+48.28444444 4.54B5+0.019-0.008
17Phi1Cet         11.0475000-10.60944444 4.76K0-0.009-0.113
Lam2Scl           11.0504166-38.42166666 5.90K1+0.244+0.113
SAO21677          11.3216666+55.22166666 5.42A2-0.025+0.002
SAO66528          11.1850000-22.00611111 5.24F1-0.066+0.083
SAO15221          11.2379166-42.67666666 5.94F0-0.086-0.102
SAO48243          11.1345833-62.49777777 6.07F5+0.143-0.005
SAO11380          11.6625000+69.32500000 6.33F3+0.196+0.001
SAO28935          11.3504166 -4.62916666 6.15M0+0.028+0.033
SAO32168          11.2500000-53.71500000 6.15F7+0.230 0.000
18 Cet            11.3695833-12.88083333 6.15G0-0.034-0.201
SAO21689          11.5629166+55.30527777 6.52A2+0.015-0.012
SAO36640          11.5454166+44.86138888 6.05B9+0.028-0.009
SAO47436          11.4237500-16.42416666 6.47F1+0.014-0.005
SAO21693          11.6766666+59.57444444 6.39G0-0.008-0.001
23 Cas            11.9420833+74.84750000 5.41B8+0.015-0.009
SAO15232          11.4400000-47.55166666 5.80G1+0.184+0.086
SAO66555          11.5491666-22.52194444 5.50G3+0.201-0.006
57 Psc            11.6375000+15.47555555 5.38M4-0.027-0.044
SAO4229           12.0379166+72.67500000 5.87K0+0.130+0.024
58 Psc            11.7562500+11.97388888 5.50G8+0.058-0.036
59 Psc            11.8066666+19.57888888 6.13F0+0.104+0.011
34Zet And         11.8345833+24.26722222 4.06K1-0.100-0.083
60 Psc            11.8483333 +6.74083333 5.99G8+0.014-0.015
61 Psc            11.9783333+20.92527777 6.54F8+0.157+0.006
SAO47451          11.9304166-18.06138888 5.70K3+0.043+0.031
24Eta Cas         12.2750000+57.81583333 3.44F9+1.100-0.529
